year,oil_price,world_renewables_pct,solar_pct,wind_pct
1970,1.21,5.89,0.0,0.0
1971,1.69,5.93,0.0,0.0
1972,1.82,5.89,0.0,0.0
1973,2.81,5.65,0.0,0.0
1974,10.97,6.17,0.0,0.0
1975,10.43,6.2,0.0,0.0
1976,11.63,5.88,0.0,0.0
1977,12.57,5.88,0.0,0.0
1978,12.92,6.12,0.0,0.0
1979,30.96,6.23,0.0,0.0
1980,36.87,6.44,0.0,0.0
1981,35.48,6.61,0.0,0.0
1982,32.65,6.81,0.0,0.0
1983,29.66,7.01,0.0,0.0
1984,28.56,6.96,0.0,0.0
1985,27.18,6.93,0.0,0.0
1986,14.35,6.91,0.0,0.0
1987,18.15,6.78,0.0,0.0
1988,14.72,6.74,0.0,0.0
1989,17.84,6.63,0.0,0.01
1990,22.88,6.8,0.0,0.01
1991,19.37,6.92,0.0,0.01
1992,19.02,6.9,0.0,0.01
1993,16.84,7.25,0.0,0.02
1994,15.89,7.23,0.0,0.02
1995,17.18,7.46,0.0,0.02
1996,20.42,7.35,0.0,0.03
1997,19.17,7.44,0.0,0.03
1998,13.06,7.48,0.0,0.04
1999,18.07,7.45,0.0,0.06
2000,28.23,7.43,0.0,0.08
2001,24.35,7.18,0.0,0.1
2002,24.93,7.19,0.0,0.13
2003,28.9,6.98,0.01,0.15
2004,37.73,7.15,0.01,0.19
2005,53.39,7.19,0.01,0.22
2006,64.29,7.34,0.01,0.27
2007,71.12,7.38,0.02,0.34
2008,96.99,7.86,0.03,0.43
2009,61.76,8.16,0.04,0.54
2010,79.04,8.37,0.06,0.64
2011,104.01,8.55,0.12,0.79
2012,105.01,8.96,0.18,0.94
2013,104.08,9.37,0.24,1.09
2014,96.24,9.73,0.33,1.2
2015,50.75,10.0,0.43,1.39
2016,42.81,10.43,0.54,1.58
2017,52.8,10.79,0.71,1.82
2018,68.35,11.2,0.89,1.97
2019,61.41,11.65,1.08,2.17
2020,41.26,12.78,1.35,2.51
2021,69.07,12.86,1.57,2.78
2022,97.1,13.5,1.94,3.09
2023,80.76,13.94,2.36,3.32
2024,78.73,14.82,2.94,3.49
